date,price,,,,,,,,,
2013/4/19,118.50 ,,,,,,,,,
2013/4/20,126.60 ,,,,,,,,,
2013/4/21,119.20 ,,,,,,,,,
2013/4/22,127.40 ,,,,,,,,,
2013/4/23,143.50 ,,,,,,,,,
2013/4/24,154.20 ,,,,,,,,,
2013/4/25,141.70 ,,,,,,,,,
2013/4/26,136.90 ,,,,,,,,,
2013/4/27,128.00 ,,,,,,,,,
2013/4/28,134.40 ,,,,,,,,,
2013/4/29,144.00 ,,,,,,,,,
2013/4/30,139.20 ,,,,,,,,,
2013/5/1,116.40 ,,,,,,,,,
2013/5/2,106.30 ,,,,,,,,,
2013/5/3,98.10 ,,,,,,,,,
2013/5/4,112.90 ,,,,,,,,,
2013/5/5,116.00 ,,,,,,,,,
2013/5/6,112.30 ,,,,,,,,,
2013/5/7,109.60 ,,,,,,,,,
2013/5/8,113.20 ,,,,,,,,,
2013/5/9,112.80 ,,,,,,,,,
2013/5/10,117.70 ,,,,,,,,,
2013/5/11,115.60 ,,,,,,,,,
2013/5/12,114.80 ,,,,,,,,,
2013/5/13,118.00 ,,,,,,,,,
2013/5/14,111.40 ,,,,,,,,,
2013/5/15,114.20 ,,,,,,,,,
2013/5/16,118.20 ,,,,,,,,,
2013/5/17,123.50 ,,,,,,,,,
2013/5/18,123.20 ,,,,,,,,,
2013/5/19,122.50 ,,,,,,,,,
2013/5/20,122.00 ,,,,,,,,,
2013/5/21,122.90 ,,,,,,,,,
2013/5/22,123.80 ,,,,,,,,,
2013/5/23,126.30 ,,,,,,,,,
2013/5/24,133.10 ,,,,,,,,,
2013/5/25,132.00 ,,,,,,,,,
2013/5/26,133.50 ,,,,,,,,,
2013/5/27,129.80 ,,,,,,,,,
2013/5/28,129.00 ,,,,,,,,,
2013/5/29,132.30 ,,,,,,,,,
2013/5/30,128.80 ,,,,,,,,,
2013/5/31,128.80 ,,,,,,,,,
2013/6/1,129.30 ,,,,,,,,,
2013/6/2,122.50 ,,,,,,,,,
2013/6/3,120.70 ,,,,,,,,,
2013/6/4,121.40 ,,,,,,,,,
2013/6/5,121.90 ,,,,,,,,,
2013/6/6,119.00 ,,,,,,,,,
2013/6/7,111.00 ,,,,,,,,,
2013/6/8,107.90 ,,,,,,,,,
2013/6/9,100.40 ,,,,,,,,,
2013/6/10,106.30 ,,,,,,,,,
2013/6/11,109.00 ,,,,,,,,,
2013/6/12,108.80 ,,,,,,,,,
2013/6/13,103.90 ,,,,,,,,,
2013/6/14,100.00 ,,,,,,,,,
2013/6/15,99.80 ,,,,,,,,,
2013/6/16,99.90 ,,,,,,,,,
2013/6/17,101.90 ,,,,,,,,,
2013/6/18,107.30 ,,,,,,,,,
2013/6/19,108.30 ,,,,,,,,,
2013/6/20,111.30 ,,,,,,,,,
2013/6/21,109.50 ,,,,,,,,,
2013/6/22,108.20 ,,,,,,,,,
2013/6/23,107.90 ,,,,,,,,,
2013/6/24,102.10 ,,,,,,,,,
2013/6/25,103.30 ,,,,,,,,,
2013/6/26,104.00 ,,,,,,,,,
2013/6/27,101.70 ,,,,,,,,,
2013/6/28,94.70 ,,,,,,,,,
2013/6/29,95.00 ,,,,,,,,,
2013/6/30,97.50 ,,,,,,,,,
2013/7/1,88.10 ,,,,,,,,,
2013/7/2,90.40 ,,,,,,,,,
2013/7/3,78.90 ,,,,,,,,,
2013/7/4,80.00 ,,,,,,,,,
2013/7/5,68.50 ,,,,,,,,,
2013/7/6,69.70 ,,,,,,,,,
2013/7/7,76.50 ,,,,,,,,,
2013/7/8,76.00 ,,,,,,,,,
2013/7/9,76.70 ,,,,,,,,,
2013/7/10,88.00 ,,,,,,,,,
2013/7/11,89.00 ,,,,,,,,,
2013/7/12,94.00 ,,,,,,,,,
2013/7/13,98.30 ,,,,,,,,,
2013/7/14,94.40 ,,,,,,,,,
2013/7/15,98.90 ,,,,,,,,,
2013/7/16,97.10 ,,,,,,,,,
2013/7/17,98.50 ,,,,,,,,,
2013/7/18,90.10 ,,,,,,,,,
2013/7/19,92.00 ,,,,,,,,,
2013/7/20,89.80 ,,,,,,,,,
2013/7/21,92.00 ,,,,,,,,,
2013/7/22,91.60 ,,,,,,,,,
2013/7/23,95.60 ,,,,,,,,,
2013/7/24,95.10 ,,,,,,,,,
2013/7/25,96.90 ,,,,,,,,,
2013/7/26,96.00 ,,,,,,,,,
2013/7/27,94.40 ,,,,,,,,,
2013/7/28,98.80 ,,,,,,,,,
2013/7/29,101.50 ,,,,,,,,,
2013/7/30,108.00 ,,,,,,,,,
2013/7/31,106.20 ,,,,,,,,,
2013/8/1,104.00 ,,,,,,,,,
2013/8/2,104.50 ,,,,,,,,,
2013/8/3,104.90 ,,,,,,,,,
2013/8/4,105.10 ,,,,,,,,,
2013/8/5,106.70 ,,,,,,,,,
2013/8/6,106.60 ,,,,,,,,,
2013/8/7,106.00 ,,,,,,,,,
2013/8/8,103.10 ,,,,,,,,,
2013/8/9,102.80 ,,,,,,,,,
2013/8/10,103.00 ,,,,,,,,,
2013/8/11,105.00 ,,,,,,,,,
2013/8/12,106.80 ,,,,,,,,,
2013/8/13,109.60 ,,,,,,,,,
2013/8/14,112.60 ,,,,,,,,,
2013/8/15,110.00 ,,,,,,,,,
2013/8/16,109.00 ,,,,,,,,,
2013/8/17,112.80 ,,,,,,,,,
2013/8/18,113.40 ,,,,,,,,,
2013/8/19,118.50 ,,,,,,,,,
2013/8/20,121.20 ,,,,,,,,,
2013/8/21,123.30 ,,,,,,,,,
2013/8/22,122.00 ,,,,,,,,,
2013/8/23,118.50 ,,,,,,,,,
2013/8/24,119.60 ,,,,,,,,,
2013/8/25,122.10 ,,,,,,,,,
2013/8/26,120.10 ,,,,,,,,,
2013/8/27,131.30 ,,,,,,,,,
2013/8/28,128.80 ,,,,,,,,,
2013/8/29,129.30 ,,,,,,,,,
2013/8/30,138.00 ,,,,,,,,,
2013/8/31,141.00 ,,,,,,,,,
2013/9/1,146.00 ,,,,,,,,,
2013/9/2,144.00 ,,,,,,,,,
2013/9/3,144.00 ,,,,,,,,,
2013/9/4,132.50 ,,,,,,,,,
2013/9/5,130.20 ,,,,,,,,,
2013/9/6,121.90 ,,,,,,,,,
2013/9/7,129.00 ,,,,,,,,,
2013/9/8,126.30 ,,,,,,,,,
2013/9/9,133.10 ,,,,,,,,,
2013/9/10,132.60 ,,,,,,,,,
2013/9/11,142.10 ,,,,,,,,,
2013/9/12,139.40 ,,,,,,,,,
2013/9/13,140.70 ,,,,,,,,,
2013/9/14,136.70 ,,,,,,,,,
2013/9/15,138.30 ,,,,,,,,,
2013/9/16,139.40 ,,,,,,,,,
2013/9/17,139.10 ,,,,,,,,,
2013/9/18,140.40 ,,,,,,,,,
2013/9/19,135.10 ,,,,,,,,,
2013/9/20,133.80 ,,,,,,,,,
2013/9/21,134.40 ,,,,,,,,,
2013/9/22,134.00 ,,,,,,,,,
2013/9/23,133.40 ,,,,,,,,,
2013/9/24,134.80 ,,,,,,,,,
2013/9/25,135.00 ,,,,,,,,,
2013/9/26,137.10 ,,,,,,,,,
2013/9/27,138.90 ,,,,,,,,,
2013/9/28,142.50 ,,,,,,,,,
2013/9/29,143.90 ,,,,,,,,,
2013/9/30,141.90 ,,,,,,,,,
2013/10/1,140.30 ,,,,,,,,,
2013/10/2,123.00 ,,,,,,,,,
2013/10/3,131.00 ,,,,,,,,,
2013/10/4,136.80 ,,,,,,,,,
2013/10/5,136.70 ,,,,,,,,,
2013/10/6,137.80 ,,,,,,,,,
2013/10/7,135.80 ,,,,,,,,,
2013/10/8,136.50 ,,,,,,,,,
2013/10/9,139.50 ,,,,,,,,,
2013/10/10,140.40 ,,,,,,,,,
2013/10/11,140.10 ,,,,,,,,,
2013/10/12,142.90 ,,,,,,,,,
2013/10/13,147.50 ,,,,,,,,,
2013/10/14,151.40 ,,,,,,,,,
2013/10/15,158.10 ,,,,,,,,,
2013/10/16,152.80 ,,,,,,,,,
2013/10/17,157.60 ,,,,,,,,,
2013/10/18,168.30 ,,,,,,,,,
2013/10/19,183.10 ,,,,,,,,,
2013/10/20,186.10 ,,,,,,,,,
2013/10/21,192.80 ,,,,,,,,,
2013/10/22,203.00 ,,,,,,,,,
2013/10/23,228.00 ,,,,,,,,,
2013/10/24,207.00 ,,,,,,,,,
2013/10/25,197.90 ,,,,,,,,,
2013/10/26,188.60 ,,,,,,,,,
2013/10/27,206.90 ,,,,,,,,,
2013/10/28,206.90 ,,,,,,,,,
2013/10/29,216.00 ,,,,,,,,,
2013/10/30,208.00 ,,,,,,,,,
2013/10/31,211.20 ,,,,,,,,,
2013/11/1,213.40 ,,,,,,,,,
2013/11/2,211.70 ,,,,,,,,,
2013/11/3,224.00 ,,,,,,,,,
2013/11/4,238.20 ,,,,,,,,,
2013/11/5,251.30 ,,,,,,,,,
2013/11/6,264.10 ,,,,,,,,,
2013/11/7,309.60 ,,,,,,,,,
2013/11/8,355.00 ,,,,,,,,,
2013/11/9,367.80 ,,,,,,,,,
2013/11/10,336.30 ,,,,,,,,,
2013/11/11,363.00 ,,,,,,,,,
2013/11/12,380.00 ,,,,,,,,,
2013/11/13,434.90 ,,,,,,,,,
2013/11/14,433.40 ,,,,,,,,,
2013/11/15,433.90 ,,,,,,,,,
2013/11/16,462.00 ,,,,,,,,,
2013/11/17,528.30 ,,,,,,,,,
2013/11/18,785.40 ,,,,,,,,,
2013/11/19,645.70 ,,,,,,,,,
2013/11/20,638.00 ,,,,,,,,,
2013/11/21,764.90 ,,,,,,,,,
2013/11/22,802.00 ,,,,,,,,,
2013/11/23,832.50 ,,,,,,,,,
2013/11/24,795.00 ,,,,,,,,,
2013/11/25,830.00 ,,,,,,,,,
2013/11/26,970.00 ,,,,,,,,,
2013/11/27,1079.90 ,,,,,,,,,
2013/11/28,1101.40 ,,,,,,,,,
2013/11/29,1206.90 ,,,,,,,,,
2013/11/30,1205.70 ,,,,,,,,,
2013/12/1,1004.40 ,,,,,,,,,
2013/12/2,1096.60 ,,,,,,,,,
2013/12/3,1154.90 ,,,,,,,,,
2013/12/4,1237.60 ,,,,,,,,,
2013/12/5,1106.30 ,,,,,,,,,
2013/12/6,845.00 ,,,,,,,,,
2013/12/7,697.00 ,,,,,,,,,
2013/12/8,804.00 ,,,,,,,,,
2013/12/9,919.00 ,,,,,,,,,
2013/12/10,1033.70 ,,,,,,,,,
2013/12/11,919.90 ,,,,,,,,,
2013/12/12,900.00 ,,,,,,,,,
2013/12/13,936.80 ,,,,,,,,,
2013/12/14,908.90 ,,,,,,,,,
2013/12/15,919.90 ,,,,,,,,,
2013/12/16,759.90 ,,,,,,,,,
2013/12/17,715.00 ,,,,,,,,,
2013/12/18,541.00 ,,,,,,,,,
2013/12/19,732.00 ,,,,,,,,,
2013/12/20,650.00 ,,,,,,,,,
2013/12/21,640.50 ,,,,,,,,,
2013/12/22,639.50 ,,,,,,,,,
2013/12/23,713.20 ,,,,,,,,,
2013/12/24,702.80 ,,,,,,,,,
2013/12/25,707.30 ,,,,,,,,,
2013/12/26,802.00 ,,,,,,,,,
2013/12/27,803.00 ,,,,,,,,,
2013/12/28,762.00 ,,,,,,,,,
2013/12/29,785.00 ,,,,,,,,,
2013/12/30,804.80 ,,,,,,,,,
2013/12/31,805.90 ,,,,,,,,,
2014/1/1,815.90 ,,,,,,,,,
2014/1/2,856.90 ,,,,,,,,,
2014/1/3,884.30 ,,,,,,,,,
2014/1/4,924.70 ,,,,,,,,,
2014/1/5,1014.70 ,,,,,,,,,
2014/1/6,1012.70 ,,,,,,,,,
2014/1/7,879.90 ,,,,,,,,,
2014/1/8,938.80 ,,,,,,,,,
2014/1/9,937.00 ,,,,,,,,,
2014/1/10,957.80 ,,,,,,,,,
2014/1/11,1005.30 ,,,,,,,,,
2014/1/12,939.80 ,,,,,,,,,
2014/1/13,922.90 ,,,,,,,,,
2014/1/14,919.30 ,,,,,,,,,
2014/1/15,941.20 ,,,,,,,,,
2014/1/16,913.50 ,,,,,,,,,
2014/1/17,894.20 ,,,,,,,,,
2014/1/18,905.70 ,,,,,,,,,
2014/1/19,954.80 ,,,,,,,,,
2014/1/20,956.00 ,,,,,,,,,
2014/1/21,962.20 ,,,,,,,,,
2014/1/22,951.00 ,,,,,,,,,
2014/1/23,944.20 ,,,,,,,,,
2014/1/24,916.50 ,,,,,,,,,
2014/1/25,961.00 ,,,,,,,,,
2014/1/26,1007.00 ,,,,,,,,,
2014/1/27,943.50 ,,,,,,,,,
2014/1/28,932.70 ,,,,,,,,,
2014/1/29,925.70 ,,,,,,,,,
2014/1/30,941.40 ,,,,,,,,,
2014/1/31,938.80 ,,,,,,,,,
2014/2/1,940.40 ,,,,,,,,,
2014/2/2,953.30 ,,,,,,,,,
2014/2/3,931.70 ,,,,,,,,,
2014/2/4,926.60 ,,,,,,,,,
2014/2/5,904.50 ,,,,,,,,,
2014/2/6,828.90 ,,,,,,,,,
2014/2/7,695.70 ,,,,,,,,,
2014/2/8,648.80 ,,,,,,,,,
2014/2/9,659.60 ,,,,,,,,,
2014/2/10,582.60 ,,,,,,,,,
2014/2/11,579.00 ,,,,,,,,,
2014/2/12,531.10 ,,,,,,,,,
2014/2/13,451.40 ,,,,,,,,,
2014/2/14,427.70 ,,,,,,,,,
2014/2/15,371.10 ,,,,,,,,,
2014/2/16,299.80 ,,,,,,,,,
2014/2/17,272.30 ,,,,,,,,,
2014/2/18,294.00 ,,,,,,,,,
2014/2/19,261.50 ,,,,,,,,,
2014/2/20,111.90 ,,,,,,,,,
2014/2/21,111.60 ,,,,,,,,,
2014/2/22,255.60 ,,,,,,,,,
2014/2/23,310.20 ,,,,,,,,,
2014/2/24,174.00 ,,,,,,,,,
2014/2/25,135.80 ,,,,,,,,,
2014/2/26,593.10 ,,,,,,,,,
2014/2/27,596.50 ,,,,,,,,,
2014/2/28,573.90 ,,,,,,,,,
2014/3/1,557.40 ,,,,,,,,,
2014/3/2,544.60 ,,,,,,,,,
2014/3/3,662.20 ,,,,,,,,,
2014/3/4,661.80 ,,,,,,,,,
2014/3/5,658.30 ,,,,,,,,,
2014/3/6,648.30 ,,,,,,,,,
2014/3/7,616.70 ,,,,,,,,,
2014/3/8,609.20 ,,,,,,,,,
2014/3/9,627.00 ,,,,,,,,,
2014/3/10,613.00 ,,,,,,,,,
2014/3/11,608.70 ,,,,,,,,,
2014/3/12,619.40 ,,,,,,,,,
2014/3/13,625.00 ,,,,,,,,,
2014/3/14,614.00 ,,,,,,,,,
2014/3/15,624.00 ,,,,,,,,,
2014/3/16,619.10 ,,,,,,,,,
2014/3/17,606.40 ,,,,,,,,,
2014/3/18,598.90 ,,,,,,,,,
2014/3/19,595.00 ,,,,,,,,,
2014/3/20,566.00 ,,,,,,,,,
2014/3/21,549.60 ,,,,,,,,,
2014/3/22,564.30 ,,,,,,,,,
2014/3/23,551.20 ,,,,,,,,,
2014/3/24,567.60 ,,,,,,,,,
2014/3/25,562.90 ,,,,,,,,,
2014/3/26,562.50 ,,,,,,,,,
2014/3/27,460.50 ,,,,,,,,,
2014/3/28,482.60 ,,,,,,,,,
